list-id-m,2,4,1,24,78165,3256
list-id-s,2,4,1,24,77926,3246
list-il-m,2,4,1,24,115301,4804
list-il-s,2,4,1,24,85364,3556
list-dl-m,2,4,1,24,92460,3852
list-dl-s,2,4,1,24,126009,5250
list-idl-m,2,4,1,24,120458,5019
list-idl-s,2,4,1,24,106128,4422
list-i-m,2,8,1,48,99172,2066
list-i-s,2,8,1,48,106237,2213
list-d-m,2,8,1,48,91579,1907
list-d-s,2,8,1,48,94281,1964
list-l-m,2,8,1,48,200176,4170
list-l-s,2,8,1,48,106983,2228
list-id-m,2,8,1,48,125093,2606
list-id-s,2,8,1,48,108033,2250
list-il-m,2,8,1,48,167224,3483
list-il-s,2,8,1,48,139053,2896
list-dl-m,2,8,1,48,135093,2814
list-dl-s,2,8,1,48,123048,2563
list-idl-m,2,8,1,48,150950,3144
list-idl-s,2,8,1,48,156058,3251
list-i-m,2,16,1,96,131148,1366
list-i-s,2,16,1,96,93760,976
list-d-m,2,16,1,96,96323,1003
list-d-s,2,16,1,96,111726,1163
list-l-m,2,16,1,96,263477,2744
list-l-s,2,16,1,96,247675,2579
list-id-m,2,16,1,96,163048,1698
list-id-s,2,16,1,96,124071,1292
list-il-m,2,16,1,96,325433,3389
list-il-s,2,16,1,96,326322,3399
list-dl-m,2,16,1,96,283206,2950
list-dl-s,2,16,1,96,311252,3242
list-idl-m,2,16,1,96,417804,4352
list-idl-s,2,16,1,96,343884,3582
list-i-m,2,32,1,192,319278,1662
list-i-s,2,32,1,192,196704,1024
list-d-m,2,32,1,192,159249,829
list-d-s,2,32,1,192,141353,736
list-l-m,2,32,1,192,888952,4629
list-l-s,2,32,1,192,721867,3759
list-id-m,2,32,1,192,274101,1427
list-id-s,2,32,1,192,206494,1075
list-il-m,2,32,1,192,1065371,5548
list-il-s,2,32,1,192,1161535,6049
list-dl-m,2,32,1,192,760946,3963
list-dl-s,2,32,1,192,1228630,6399
list-idl-m,2,32,1,192,1115853,5811
list-idl-s,2,32,1,192,1077153,5610
list-i-m,4,1,1,12,149565,12463
list-i-s,4,1,1,12,198075,16506
list-d-m,4,1,1,12,190279,15856
list-d-s,4,1,1,12,179415,14951
list-l-m,4,1,1,12,128027,10668
list-l-s,4,1,1,12,115479,9623
list-id-m,4,1,1,12,127025,10585
list-id-s,4,1,1,12,160821,13401
list-il-m,4,1,1,12,124127,10343
list-il-s,4,1,1,12,148798,12399
